method_result ASK14 AB10 ASB14-RJB
LLH_score 2.044536375421174 4.498979405178141 2.4536721322430766
LLH_ranking 3 1 2
gambling_score 0.28847411272899465 -0.42847207872189097 0.1399979659928964
gambling_ranking 3 1 2
quantile_score 0.9439237719742749 0.6516643529974185 0.9405721636874215
quantile_ranking 3 1 2
final_ranking 9 3 6
